KPI_ID,KPI_NAME,SERVICE_LEVEL,GROUP_KPI,SUBGROUP_KPI,ORDRE_SUBGROUP,THEME,ORDRE_THEME,ORDRE_KPI_PAGE,TAUX_YN,DATE_CREATION,DATE_CESSATION,PAGE,DESCRIPTION,DRILL_SYSTEME
OPCON002,"Taux de mise à disposition des données TM1 avant 8h00 du lundi au samedi",Disponibilité,FOCUS RETAIL ,Données analytiques,5,Mise à disposition des données BI,5,9,Y,01/01/2021,,1,"Mesurer la bonne exécution de la chaîne de nuit, permettant aux contrôleurs de gestion de débuter leur journée de travail à 7h30 avec les bonnes données dans TM1. TM1 est le premier outil des contrôleurs de gestion.",DRILL_OPCON
OPCON003,"Respect du délai de mise à disposition des Ordres d'Achat et des Propositions d'Ordres d'Achat à 8h30",Business,,Planification des achats,1,Supply Chain,2,3,Y,01/01/2021,,1,"L’Outil Dispo Composant repose sur un algorithme dont la finalité principale est de rapprocher des notions d’approvisionnement avec des notions de Production dans un soucis d’optimisation du circuit d’analyses et d’échanges à destination des Equipes HMS Approvisionnement et Planification. Les rapports produits sur ces données vont permettre de visualiser : La notion de Cotation des Approvisionnements laquelle permet d’indiquer si la livraison prévisionnelle de composants est en avance, en retard, trop juste,… par rapport au besoin de Production. La notion de Complet Conforme qui permet de mesurer en nombre de mois l’encours de Production couvrable par les Composants disponibles. L’impact en nombre d’heures de Production du retard de livraison d’un Composant. L'objectif du KPI est de vérifier le respect du délai de mise à disposition des données dans le rapport CEL23_APPRO.",DRILL_OPCON
OPCON004,"Respect du délai de mise à disposition des Ordres à produire pour les sites de production à 8h00",Business,,Planification de la production,3,Fabrication,3,5,Y,01/01/2021,,1,"Tous les matins, les ordres à produire sont mis à disposition des sites de production (maroquinerie). Anciennement appelé le RAF (Reste à Faire), l'OAP(Ordre à produire) sert à la fois aux sites de productions et à la planification pour connaître les ordres en cours (table ou coupe).L'objectif de ce KPI est de mesurer le respect du délai de mise à disposition de ces informations. Le délai est aujourd'hui fixé à 8H du matin.",DRILL_OPCON
OPCON005,"Taux de mise à disposition des données TM1 avant 7h30 du lundi au samedi",Disponibilité,FOCUS RETAIL ,Données analytiques,5,Mise à disposition des données BI,5,9,Y,01/01/2021,,1,"Mesurer la bonne exécution de la chaîne de nuit, permettant aux contrôleurs de gestion de débuter leur journée de travail à 7h30 avec les bonnes données dans TM1. TM1 est le premier outil des contrôleurs de gestion.",DRILL_OPCON
OPCON006,"Taux de disponibilité des interfaces Plume",Disponibilité,,Taux de disponibilité des applications,3,Taux de disponibilité des applications,3,10,Y,01/01/2021,01/03/2024,1,"",
M3001,"Synchronisation des quantités commandées sur l’OA et les quantités à fabriquer sur l’OF",Business,,Synchronisation des quantités entre Ordre d'Achat et Ordre de Fabrication dans M3,3,Achat & Approvisionnement,2,3,Y,01/01/2021,,1,"Chez Hermès Femme, pour les Ordres d'Achat de sous-traitance, chaque Ordre d'Achat est lié à un Ordre de Fabrication. Les quantités devraient correspondre mais aujourd'hui on observe de nombreux décalages. Cet indicateur a été construit pour mesurer les décalages en amont de la Production. L'objectif de ce KPI est donc de contrôler : La synchronisation des quantités commandées sur l'OA et les quantités à fabriquer sur l'OF",DRILL_M3_HF
M3002,"Synchronisation des quantités réceptionnées sur l’OA et les quantités à fabriquées sur l’OF",Business,,Synchronisation des quantités entre Ordre d'Achat et Ordre de Fabrication dans M3,3,Achat & Approvisionnement,2,4,Y,01/01/2021,,1,"Chez Hermès Femme, pour les Ordres d'Achat de sous-traitance, chaque Ordre d'Achat est lié à un Ordre de Fabrication. Les quantités devraient correspondre mais aujourd'hui on observe de nombreux décalages. Cet indicateur a été construit pour mesurer les décalages en amont de la Production. L'objectif de ce KPI est donc de contrôler : La synchronisation des quantités commandées sur l'OA et les quantités à fabriquer sur l'OF",DRILL_M3_HF
M3003,"Taux d’intégration des flux entrants Deret vers M3 - Hermès Femme",Business,,Intégration des flux entrants Deret vers M3,1,Logistique,1,1,Y,01/01/2021,,1,"Vérifier le taux d'intégration des interfaces entre Manhattan et M3, ces interfaces ont pour impact la mise à disposition du stock physiquement présent dans les entrepôts logistiques sur le stock informatique côté M3, cette mise à disposition côté M3 permet l'affectation des produits à des commandes clients.",DRILL_M3_PIX_HF
M3004,"Taux d'intégration des PIX Manhattan dans M3 sans erreur - Deret",Disponibilité,,Flux entrant,1,Interface systèmes,1,2,Y,01/01/2021,,1,"Vérifier le taux d'intégration des interfaces entre Manhattan et M3, ces interfaces ont pour impact la mise à disposition du stock physiquement présent dans les entrepôts logistiques sur le stock informatique côté M3, cette mise à disposition côté M3 permet l'affectation des produits à des commandes clients.",DRILL_M3_PIX_LOG
M3005,"Taux d'intégration des PIX Manhattan dans M3 sans erreur - Bobigny",Disponibilité,,Flux entrant,1,Interface systèmes,1,1,Y,01/01/2021,,1,"Vérifier le taux d'intégration des interfaces entre Manhattan et M3, ces interfaces ont pour impact la mise à disposition du stock physiquement présent dans les entrepôts logistiques sur le stock informatique côté M3, cette mise à disposition côté M3 permet l'affectation des produits à des commandes clients.",DRILL_M3_PIX_LOG
MAG001,"Respect du délai d'expédition (promesse client): validées avant 14h / J, validées après 14h / J+1",Business,FOCUS HCOM,Taux de service mensuel,1,Taux de service mensuel,1,1,Y,01/01/2021,,2,"Mesurer le taux de respect du délai d'expédition des commandes expédiées dans le mois (expédiées le jours J pour les commandes passées avant 14h et à J+1 sinon). Le KPI sera calculé séparément pour le Global Ecom, Hermès Distribution France (HDF), Hermès Distribution Europe (HDE).",DRILL_PY_KP1
M3MAG001,"Taux mensuel de commandes validées dans Magento et intégrées dans M3 en 15 min",Business,,,1,Respect du délai d'expédition,2,2,Y,01/01/2021,,1,"Mesurer le taux de respect du délai de 15 min d'intégration dans M3 des commandes validées dans Magento.",DRILL_PY_KP2
MANMAG001,"Taux mensuel de commandes préparées et facturées dans Magento en 15 min",Business,,,1,Respect du délai d'expédition,2,4,Y,01/01/2021,,1,"Mesurer le taux de respect du délai de 15 min entre la fin de préparation de la commande dans Manhattan et la facturation de la commande dans Magento.",DRILL_PY_KP4
MANMAG002,"Taux mensuel de commandes expédiées le même jour que la facturation",Business,,,1,Respect du délai d'expédition,2,5,Y,01/01/2021,,1,"Mesurer le taux de commandes expédiées le même jour que la facturation (jours ouvrés). (Pas d'engagement existant sur l'expédition d'une commande facturée dans la même journée). Week-end et jours fériés non considérés comme des jours ouvrés.",DRILL_PY_KP5
MANMAG003,"Taux mensuel de confirmations d'expédition remontées correctement dans Magento",Business,,,1,Respect du délai d'expédition,2,6,Y,01/01/2021,,1,"Mesurer le taux de remontée de l'expédition d'une commande de Manhattan vers Magento.",DRILL_PY_KP6
MANMAG004,"Taux d'intégration de la facturation H.com dans les délais (15 min entre fin de préparation Manhattan et facturation Magento)",Business,,Niveau de Service e-commerce,3,Interface systèmes,3,5,Y,01/01/2021,,1,"Mesurer le taux de respect du délai de 15 min entre la fin de préparation dans Manhattan et la facturation dans Magento.",DRILL_PY_KP7
MAN001,"Taux mensuel de commandes préparées à J (validées avant 14h), à J+1 (validées après 14h)",Business,,,1,Respect du délai d'expédition,2,3,Y,01/01/2021,,1,"Mesurer le taux de préparation des commandes à J (validées avant 14h), à J+1 (validées après 14h)(KPI Logistique)",DRILL_PY_KP3
M3Y2001,"Taux de livraisons annoncées qui respectent le délai de 24h après l'expédition ",Business,FOCUS RETAIL,Réception en magasin,1,Réception en magasin,1,1,Y,01/01/2021,,1,"Vérifier le respect du délai de 24h entre la validation de la facture dans M3 suit à la finalisation de la préparation de la commande et la mise à disposition de l'information dans CEGID Y2 pour la réception des BP (bons de préparation) en magasin.",DRILL_M3Y2
M3MAN001A,"Taux de remontées des BP préparés dans M3 sans erreurs - Bobigny",Disponibilité,,Flux sortant,2,Interface systèmes,2,3,Y,01/01/2021,,1,"Vérifier le taux d'intégration des facturations entre Manhattan et M3. L'objectif est de controler l'ensemble des BP préparé dans la journée et leur intégration correct côté M3.",DRILL_M3MAN
M3MAN001B,"Taux de remontées des BP préparés dans M3 sans erreurs - Deret",Disponibilité,,Flux sortant,2,Interface systèmes,2,4,Y,01/01/2021,,1,"Vérifier le taux d'intégration des facturations entre Manhattan et M3. L'objectif est de controler l'ensemble des BP préparé dans la journée et leur intégration correct côté M3.",DRILL_M3MAN
M3MAN002,"Taux de BP préparés remontant en facturation",Business,,Import / Export,1,Interface systèmes,1,1,Y,01/01/2021,,1,"Vérifier le taux d'intégration des préparations entre Manhattan et M3. L'objectif est de contrôler l'ensemble des BP préparés dans la journée et leur intégration correcte côté M3.",DRILL_M3MAN
M3MAN003A,"Taux d'intégration des BP à préparer - Bobigny",Disponibilité,,Niveau de Service e-commerce,3,Interface systèmes,3,6,Y,01/01/2021,,1,"Vérifier le taux d'intégration de demandes de préparations (BP) entre M3 et Manhattan, un défaut d'intégration engendre un délai plus important au niveau de la livraison des articles en magasin.",DRILL_M3MAN
M3MAN003B,"Taux d'intégration des BP à préparer - Deret",Disponibilité,,Niveau de Service e-commerce,3,Interface systèmes,3,7,Y,01/01/2021,,1,"Vérifier le taux d'intégration de demandes de préparations (BP) entre M3 et Manhattan, un défaut d'intégration engendre un délai plus important au niveau de la livraison des articles en magasin.",DRILL_M3MAN
M3PF001,"Synchronisation des Restes à Livrer entre le Portail Fournisseur et M3",Business,,Synchronisation des Restes à Livrer entre le Portail Fournisseur et M3,2,Achat & Approvisionnement,2,2,Y,01/01/2021,,1,"Contrôler l'écart du nombre de lignes d'ordre d'achat restant à livrer par les fournisseurs d'Hermès entre M3 et le Portail Fournisseur.",DRILL_M3PF
SNAV001,"Taux de disponibilité du DAM BO Groupe",Disponibilité,,Taux de disponibilité des applications,2,Taux de disponibilité des applications,2,7,Y,01/01/2021,,1,"Vérifier l'état de disponibilité mensuel de l'application DAM BO Groupe du Lundi au Dimanche de 8h00 à 21h00.",
SNAV002,"Taux de disponibilité du DAM FO Groupe",Disponibilité,,Taux de disponibilité des applications,2,Taux de disponibilité des applications,2,8,Y,01/01/2021,,1,"Vérifier l'état de disponibilité mensuel de l'application DAM FO Groupe du Lundi au Dimanche de 00h00 à 23h59, de 00h00 à 00h59 puis de 6h30 à 23h59 le jeudi.",
SNAV003,"Taux de disponibilité du DAM BO CNP",Disponibilité,,Taux de disponibilité des applications,2,Taux de disponibilité des applications,2,9,Y,01/01/2021,,1,"Vérifier l'état de disponibilité mensuel de l'application DAM BO CNP du Lundi au Dimanche de 8h00 à 21h00.",
SNAV004,"Taux de disponibilité du DAM FO CNP",Disponibilité,,Taux de disponibilité des applications,2,Taux de disponibilité des applications,2,10,Y,01/01/2021,,1,"Vérifier l'état de disponibilité mensuel de l'application DAM FO CNP du Lundi au Dimanche de 00h00 à 23h59, de 00h00 à 00h59 puis de 6h30 à 23h59 le jeudi.",
SNAV005,"Taux de disponibilité Portail Cognos Principal",Disponibilité,,Taux de disponibilité des applications,1,Taux de disponibilité des applications,1,,Y,01/01/2021,,1,"Vérifier l'état de disponibilité mensuel de l'application Portail Cognos Principal du Lundi au Dimanche de 00H00 à 23H59 et 20H le mardi.",
SNAV006,"Taux de disponibilité Portail Cognos Galileo",Disponibilité,,Taux de disponibilité des applications,1,Taux de disponibilité des applications,1,,Y,01/01/2021,,1,"Vérifier l'état de disponibilité mensuel de l'application Portail Cognos Galileo du Lundi au Dimanche de 00H00 à 23H59 et 20H le mardi.",
SNAV007,"Taux de disponibilité Portail Cognos Pushmail",Disponibilité,,Taux de disponibilité des applications,1,Taux de disponibilité des applications,1,,Y,01/01/2021,,1,"Vérifier l'état de disponibilité mensuel de l'application Portail Cognos Galileo du Lundi au Dimanche de 00H00 à 23H59 et 20H le mardi.",
SNAV008,"Taux de disponibilité MS Dynamics Europe",Disponibilité,,Taux de disponibilité des applications,1,Taux de disponibilité des applications,1,,Y,01/01/2021,,1,"Vérifier l'état de disponibilité mensuel de l'application MS Dynamics Europe 24H/24, 6/7 (dimanche exclu).",
SNAV010,"Taux de disponibilité de Plume",Disponibilité,,Taux de disponibilité des applications,4,Taux de disponibilité des applications,4,9,Y,01/01/2021,,1,"Vérifier l'état de disponibilité mensuel de l'application Plume du Lundi au Vendredi de 8h00 à 20h00.",
SNAV011,"Taux de disponibilité WCS Savoye",Disponibilité,,Taux de disponibilité des applications,4,Taux de disponibilité des applications,4,8,Y,01/01/2021,,1,"Vérifier l'état de disponibilité mensuel de l'application WCS du Lundi au Vendredi de 7h à 18h.",
SNAV012,"Taux de disponibilité StreamServe",Disponibilité,,Taux de disponibilité des applications,4,Taux de disponibilité des applications,4,9,Y,01/01/2021,,1,"Vérifier l'état de disponibilité mensuel de l'application Streamserve du Lundi au vendredi de 7H00 à 18H.",
SNAV013,"Taux de disponibilité M3 CNP",Disponibilité,,Taux de disponibilité des applications,1,Taux de disponibilité des applications,1,,Y,01/01/2021,,1,"Vérifier l'état de disponibilité mensuel de l'application M3 Europe du Lundi au Vendredi de 5H00 à 21H00.",
SNAV014,"Taux de disponibilité M3 Europe",Disponibilité,,Taux de disponibilité des applications,1,Taux de disponibilité des applications,1,,Y,01/01/2021,,1,"Vérifier l'état de disponibilité mensuel de l'application M3 Europe du Lundi au Vendredi de 7H00 à 20H00.",
SNAV015,"Taux de disponibilité M3 USA",Disponibilité,,Taux de disponibilité des applications,1,Taux de disponibilité des applications,1,,Y,01/01/2021,,1,"Vérifier l'état de disponibilité mensuel de l'application M3 USA du Lundi au Vendredi de 13H00 à 20H30 et de 22H à 02H.",
SNAV016,"Taux de disponibilité Y2 Europe",Disponibilité,FOCUS RETAIL ,Vente,2,Vente,2,4,Y,01/01/2021,,1,"Vérifier l'état de disponibilité mensuel de l'application Y2 Europe du Lundi au Dimanche de 7H00 à 22H00.",
SNAV017,"Taux de disponibilité Y2 Saint Barth",Disponibilité,,Taux de disponibilité des applications,1,Taux de disponibilité des applications,1,,Y,01/01/2021,,1,"Vérifier l'état de disponibilité mensuel de l'application Portail Cognos Galileo du Lundi au Dimanche de 00H00 à 23H59 et 20H le mardi.",
SNAV018,"Taux de disponibilité Manhattan",Disponibilité,,Taux de disponibilité des applications,1,Taux de disponibilité des applications,1,,Y,01/01/2021,,1,"Vérifier l’état de disponibilité mensuel de l’application SWB tous les jours ouvrés (du lundi au vendredi) de 8h à 18h.",
SNAV019,"Taux de disponibilité de l'application SWB",Disponibilité,,Taux de disponibilité des applications,4,Taux de disponibilité des applications,4,11,Y,01/01/2021,,1,"Vérifier l'état de disponibilité mensuel de l'application Portail Cognos Galileo du Lundi au Dimanche de 00H00 à 23H59 et 20H le mardi.",
GRAFA002,"Taux de disponibilité Tibco",Disponibilité,,Taux de disponibilité des applications,1,Taux de disponibilité des applications,1,,Y,01/01/2021,,1,"Vérifier l'état de disponibilité mensuel de Tibco.",
GRAFA003,"Taux de disponibilité DEX",Disponibilité,,Taux de disponibilité des applications,1,Taux de disponibilité des applications,1,,Y,01/01/2021,,1,"Vérifier l'état de disponibilité mensuel de DEX.",
RELIC001,"Taux de disponibilité Magento",Disponibilité,,Taux de disponibilité Magento,1,Taux de disponibilité Magento,1,,Y,01/01/2021,,1,"Vérifier l'état de disponibilité mensuel de Magento.",
ADYEN001,"Taux de disponibilité Adyen",Disponibilité,FOCUS HCOM,Adyen,4,Adyen,4,5,Y,01/01/2021,,2,"",
SAC001,"Taux de disponibilité des services d'impression Hermès Sellier",Disponibilité,,Qualité des services d'impression,5,Qualité des services d'impression,5,10,Y,01/01/2021,,1,"",
GRAFA001,"Fiabilité du signal Wifi en magasin",Disponibilité,FOCUS RETAIL,Réseau,6,Réseau,6,10,Y,01/01/2021,,1,"Mesurer la qualité du signal wifi en magasin. Le KPI sera calculé séparément pour Hermès Distribution France et Hermès Distribution Europe.",DRILL_GRAFANA_1
M3006,"Taux de commandes de réexpédition après-ventes créées dans M3 sans anomalie",Business,,Après-Vente,2,Création Commande Client,2,3,Y,01/01/2021,,1,"Contrôler la proportion de commandes AV créées avec une anomalie / un délai dans M3 suite à la validation de l'étape "Contrôle et Sortie" à la logistique du SAV central dans Hcare Web (MS Dynamics). Le traitement est instantané donc toute commande ayant une date ultérieure dans M3 est une source de ticket au support et présente un impact sur le taux de services des équipes AV central.",DRILL_M3_SAV
EASY013,"Backlog de problèmes QUARTIS",Business,,Fabrication,3,Fabrication,3,6,N,01/01/2021,,2,"Evaluer quantitativement les problèmes de fond recensés pour l’application Quartis. Cette application enregistre chaque action dans la journée d’un artisan (via des actions de badgage). Il y a environ 5000 utilisateurs dans le cadre de la fabrication HMS. Des problèmes de fond existent depuis plusieurs années pour cette application. Des erreurs de relevés peuvent entrainer une mesure erronée de la performance vs les données standard et même une mauvaise rémunération des artisans.",DRILL_QUARTIS
EASY014,"Ancienneté moyenne du backlog QUARTIS (mois)",Business,,Fabrication,3,Fabrication,3,7,N,01/01/2021,,1,"Evaluer l’ancienneté des problèmes de fond recensés pour l’application Quartis en nombre de mois. Cette application enregistre chaque action dans la journée d’un artisan (via des actions de badgage). Elle est utilisée pour tous les sites de production : il y a environ 5000 utilisateurs dans le cadre de la fabrication HMS. Des problèmes de fond existent depuis plusieurs années pour cette application. Des erreurs de relevés peuvent entrainer une mesure erronée de la performance vs les données standard et même une mauvaise rémunération des artisans.",DRILL_QUARTIS
PULOG001,"MyHpad: Taux de disponibilité",Disponibilité,FOCUS RETAIL,Mobilité,3,Mobilité,3,6,N,01/01/2021,,1,"",
CROWN001,"Taux de descente des commandes Crown vers M3 <1sem",Business,,Supply Chain,2,Supply Chain,2,4,N,01/01/2021,,1,"Cet indicateur souhaite mesure les délais de redescente des commandes Crown vers M3. Crown désigne “Create Your Own”, le programme de personnalisation de certaines catégories de produit (petite maroquinerie, soie, ceinture…). La promesse client pour la livraison du produit personnalisé est de 8 semaines. Si une commande se trouve bloquée dans les systèmes, il y a un fort risque de rupture de la promesse client et donc d’insatisfaction.",
CROWN002,"Taux de descente des commandes Crown vers M3 ≤ J+1",Business,,Supply Chain,2,Supply Chain,2,3,N,01/01/2021,,1,"Cet indicateur souhaite mesure les délais de redescente des commandes Crown vers M3. Crown désigne “Create Your Own”, le programme de personnalisation de certaines catégories de produit (petite maroquinerie, soie, ceinture…). La promesse client pour la livraison du produit personnalisé est de 8 semaines. Si une commande se trouve bloquée dans les systèmes, il y a un fort risque de rupture de la promesse client et donc d’insatisfaction.",
TABREA001,"Taux de disponibilité des 3 rapports critiques à 9h30",Disponibilité,,Fabrication,3,Fabrication,3,8,N,01/01/2021,,1,"Evaluer la disponibilité de 3 rapports identifiés comme quotidiennement nécessaires par les ateliers de fabrication. Dans le cadre du PAC (Pôle Amont Cuir), une quinzaine de rapports sont mis à disposition pour chaque site tous les matins sur le réseau pour les sites internes et sur Tableau Reader directement pour les sites externes. Ils sont à destination des responsables d’atelier pour les aider dans le pilotage de leur performance opérationnelle et représentent un outil d’aide à la décision. Les sites ont une vision des ces rapports uniquement pour leur dépôt.",
GRAFA004,"Taux de requêtes du réseau qui respectent le délai seuil (100ms)",Disponibilité,FOCUS RETAIL,Réseau,6,Réseau,6,11,Y,01/01/2021,,1,"Mesurer le nombre des requêtes réseau respectant le délai de 100ms. En dessous de 100ms, l'utilisateur ne perçoit pas les impacts des latences. Le KPI sera calculé séparément pour Hermès Distribution France et Hermès Distribution Europe.",DRILL_GRAF_RESEAU
CTC001,"Taux de données (PLM=>M3) intégrées en 1H",Disponibilité,,Développement,1,Développement,1,1,Y,01/01/2024,,1,"",DRILL_INTERFACE_ITF
SAP001JE,Taux d'intégration des ventes en moins d'un jour (C1/C6)- J+1 ouvré Europe,NULL,NULL,Respect des délais,1,J,1,1,Y,01/01/2024,NULL,1,NULL,DRILL_FINANCE
SAP001JM,Taux d'intégration des ventes en moins d'un jour (C1/C6)- J+1 ouvré Monde,NULL,NULL,Respect des délais,1,J,1,1,Y,01/01/2024,NULL,1,NULL,DRILL_FINANCE
SAP002J,Taux d'intégration des notes de frais dans SAP en moins d'un jour (K1)- J+1 ouvré ,NULL,NULL,Respect des délais,1,J,1,2,Y,01/01/2024,NULL,1,NULL,DRILL_FINANCE
SAP003J,Taux d'intégration des factures Coupa dans SAP en moins d'un jour (KM)- J+1 ouvré ,NULL,NULL,Respect des délais,1,J,1,3,Y,01/01/2024,NULL,1,NULL,DRILL_FINANCE
SAP004JH,Taux d'intégration des contrôles factures dans SAP en moins d'un jour (MM)- J+1 ouvré - hors sociétés identifiées,NULL,NULL,Respect des délais,1,J,1,4,Y,01/01/2024,NULL,1,NULL,DRILL_FINANCE
SAP004JM,Taux d'intégration des contrôles factures dans SAP en moins d'un jour (MM)- J+1 ouvré - Monde,NULL,NULL,Respect des délais,1,J,1,4,Y,01/01/2024,NULL,1,NULL,DRILL_FINANCE
SAP005J,Taux d'intégration des factures gros dans SAP en moins d'un jour (MP)- J+1 ouvré ,NULL,NULL,Respect des délais,1,J,1,5,Y,01/01/2024,NULL,1,NULL,DRILL_FINANCE
SAP001ME,Taux d'intégration des ventes en moins d'un jour (C1/C6)- M Europe,NULL,NULL,Intégré avant (ou) le 1er jour du mois M+1,2,M,2,6,Y,01/01/2024,NULL,1,NULL,DRILL_FINANCE
SAP001MM,Taux d'intégration des ventes en moins d'un jour (C1/C6)- M Monde,NULL,NULL,Intégré avant (ou) le 1er jour du mois M+1,2,M,2,6,Y,01/01/2024,NULL,1,NULL,DRILL_FINANCE
SAP002M,Taux d'intégration des notes de frais dans SAP en moins d'un jour (K1)- M,NULL,NULL,Intégré avant (ou) le 1er jour du mois M+1,2,M,2,7,Y,01/01/2024,NULL,1,NULL,DRILL_FINANCE
SAP003M,Taux d'intégration des factures Coupa dans SAP en moins d'un jour (KM)- M,NULL,NULL,Intégré avant (ou) le 1er jour du mois M+1,2,M,2,8,Y,01/01/2024,NULL,1,NULL,DRILL_FINANCE
SAP004MH,Taux d'intégration des contrôles factures dans SAP en moins d'un jour (MM)- M - hors sociétés identifiées,NULL,NULL,Intégré avant (ou) le 1er jour du mois M+1,2,M,2,9,Y,01/01/2024,NULL,1,NULL,DRILL_FINANCE
